feature,transform,missing_count,missing_share,baseline_center,baseline_scale
remote_path_share,identity,0,0.0,0.6817004575516714,0.4486267961620668
remote_to_final_rows_ratio,log1p,0,0.0,7.567051498375398,3.0319950496722274
wan_output_to_final_rows_ratio,log1p,0,0.0,8.428606988298608,2.3866685435032324
drf_bytes_proxy,log1p,0,0.0,0.8776346390782327,0.929959984734017
global_group_merge_ratio,log1p,0,0.0,8.428606988298608,2.3866685435032324
temp_bytes_to_wan_bytes_ratio,log1p,0,0.0,1.168046219629783,1.0677877845035788
temp_blocks_per_wan_row,log1p,0,0.0,0.0592811243298917,0.3707177658170638
temp_blocks_per_final_row,log1p,0,0.0,2.817544847593373,3.0671006811938795
spill_per_wan_mb,identity,0,0.0,676.5466461095098,1276.8427997485785
hash_batches_max,identity,0,0.0,1.040733197556008,0.3165024494484736
remote_region_rows_isf,identity,0,0.0,1.0244468875210708,0.1512567382840419
worker_task_scan_rows_isf,identity,5,0.4166666666666667,2.311484067562335,1.113407459936554
worker_task_scan_actual_rows_max_share,identity,5,0.4166666666666667,0.1403008620327114,0.2383709164957229
task_count_to_shard_count_ratio,identity,0,0.0,1.3406950101832993,0.9606995704932824
active_task_share,identity,0,0.0,0.9761328920570264,0.553903310677061
citus_repartition_query,identity,0,0.0,0.020366598778004,0.1412508422354354
worker_task_seq_scan_share,identity,5,0.4166666666666667,0.9017311608961304,0.2884111325132573
root_rows_estimate_error_log,identity,0,0.0,-0.103421114022155,1.1123219936935247
foreign_scan_rows_estimate_error_log,identity,0,0.0,4.22748641709208,1.4933454295635482
aggregate_rows_estimate_error_log,identity,7,0.5833333333333334,0.4668324199109964,2.095711474763354
remote_root_rows_estimate_error_log,identity,0,0.0,1.839669455902685,3.313082814203787
